schedule_code  schedule_for_route_code     route_code                                              route_name                        route_destination  route_variant  first_stop_code  last_stop_code start_time stop_time run_code duty_code  is_halfway    shift_type
         33/G                  5248757           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   21:30:00  23:15:00     33/G    33/G-S           0 Second Shift 
        401/S                  5248758          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   14:00:00  15:25:00    401/S   401/S-G           0 General Shift
        401/T                  5248759          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   11:40:00  13:15:00    401/T   401/T-G           0 General Shift
        401/V                  5248760          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   13:30:00  14:40:00    401/V   401/V-G           0 General Shift
        401/U                  5248761          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   13:10:00  14:25:00    401/U   401/U-G           0 General Shift
        401/T                  5248762          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   14:20:00  15:35:00    401/T   401/T-G           0 General Shift
        401/J                  5248763       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    8:35:00   9:00:00    401/J   401/J-G           0 General Shift
        401/S                  5248764          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   15:25:00  16:35:00    401/S   401/S-G           0 General Shift
        401/T                  5248765          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   15:35:00  16:45:00    401/T   401/T-G           0 General Shift
        401/B                  5248766       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    5:55:00   6:20:00    401/B   401/B-G           0 General Shift
        401/K                  5248767       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    7:45:00   8:10:00    401/K   401/K-G           0 General Shift
        401/C                  5248768       401-CV-D                    Chandkheda (Sarthi Bunglows) - Vadaj                                    Vadaj         NORMAL             2195            2107   18:50:00  19:20:00    401/C   401/C-G           0 General Shift
        401/S                  5248769          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   16:35:00  17:50:00    401/S   401/S-G           0 General Shift
        401/E                  5248770       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    6:55:00   7:20:00    401/E   401/E-G           0 General Shift
        401/T                  5248771          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   16:45:00  18:05:00    401/T   401/T-G           0 General Shift
        401/F                  5248772       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    7:15:00   7:40:00    401/F   401/F-G           0 General Shift
        401/G                  5248773       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    7:35:00   8:00:00    401/G   401/G-G           0 General Shift
        401/S                  5248774          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   17:55:00  19:05:00    401/S   401/S-G           0 General Shift
        401/T                  5248775          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   18:05:00  19:15:00    401/T   401/T-G           0 General Shift
        401/S                  5248776          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   19:05:00  20:30:00    401/S   401/S-G           0 General Shift
        401/T                  5248777          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   19:15:00  20:35:00    401/T   401/T-G           0 General Shift
        401/V                  5248778          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   14:40:00  16:00:00    401/V   401/V-G           0 General Shift
        401/A                  5248779          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   13:10:00  14:30:00    401/A   401/A-G           0 General Shift
        401/U                  5248780          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   14:25:00  15:40:00    401/U   401/U-G           0 General Shift
        401/D                  5248781       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    6:35:00   7:00:00    401/D   401/D-G           0 General Shift
        401/V                  5248782          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   16:00:00  17:10:00    401/V   401/V-G           0 General Shift
        401/U                  5248783          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   15:40:00  16:55:00    401/U   401/U-G           0 General Shift
        401/U                  5248784          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   16:55:00  18:10:00    401/U   401/U-G           0 General Shift
        401/J                  5248785          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   20:00:00  21:10:00    401/J   401/J-G           0 General Shift
        401/J                  5248786       401-CV-D                    Chandkheda (Sarthi Bunglows) - Vadaj                                    Vadaj         NORMAL             2195            2107   21:10:00  21:40:00    401/J   401/J-G           0 General Shift
        401/K                  5248787          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   19:25:00  20:35:00    401/K   401/K-G           0 General Shift
        401/N                  5248788       401-VV-U                                           Vasna - Vadaj                                    Vadaj         NORMAL             1286            2033   18:15:00  18:45:00    401/N   401/N-G           0 General Shift
        401/V                  5248789          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   17:10:00  18:30:00    401/V   401/V-G           0 General Shift
        401/U                  5248790          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   18:10:00  19:25:00    401/U   401/U-G           0 General Shift
        401/P                  5248791       401-VV-U                                           Vasna - Vadaj                                    Vadaj         NORMAL             1286            2033   19:30:00  20:00:00    401/P   401/P-G           0 General Shift
        401/Q                  5248792       401-VV-U                                           Vasna - Vadaj                                    Vadaj         NORMAL             1286            2033   19:50:00  20:20:00    401/Q   401/Q-G           0 General Shift
        401/K                  5248793       401-CV-D                    Chandkheda (Sarthi Bunglows) - Vadaj                                    Vadaj         NORMAL             2195            2107   20:35:00  21:05:00    401/K   401/K-G           0 General Shift
        401/L                  5248794       401-CV-D                    Chandkheda (Sarthi Bunglows) - Vadaj                                    Vadaj         NORMAL             2195            2107   21:50:00  22:20:00    401/L   401/L-G           0 General Shift
        401/V                  5248795          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   18:30:00  19:50:00    401/V   401/V-G           0 General Shift
        401/W                  5248796          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   13:50:00  15:00:00    401/W   401/W-G           0 General Shift
        401/U                  5248797          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   19:25:00  20:50:00    401/U   401/U-G           0 General Shift
        401/V                  5248798          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   19:50:00  21:00:00    401/V   401/V-G           0 General Shift
        401/W                  5248799          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   15:00:00  16:30:00    401/W   401/W-G           0 General Shift
        401/W                  5248800          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   16:30:00  17:40:00    401/W   401/W-G           0 General Shift
         63/A                  5248801           63-U                        Lal Darwaja - Gujarat High Court                       Gujarat High Court         NORMAL             1125            1687    7:40:00   8:20:00     63/A    63/A-G           0 General Shift
         63/A                  5248802           63-D                        Gujarat High Court - Lal Darwaja                              Lal Darwaja         NORMAL             1621            1077    8:20:00   9:10:00     63/A    63/A-G           0 General Shift
        401/W                  5248803          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   17:40:00  18:55:00    401/W   401/W-G           0 General Shift
         66/A                  5248804        66-SK-D                          Shilaj Gam - Income Tax Office                        Income Tax Office         NORMAL             3005            5006   18:30:00  19:15:00     66/A    66/A-G           0 General Shift
         33/B                  5248805        33-SL-D          S.P.Ring Road (Odhav Gidc) - Sarangpur Darwaja                                Sarangpur         NORMAL             4909            1844   13:00:00  13:45:00     33/B    33/B-F           0   First Shift
       314S/A                  5248806       31/4sh-D                                      Bakrol Gam - Paldi                                    Paldi         NORMAL             7063            1293    9:15:00  10:35:00   314S/A  314S/A-G           0 General Shift
         63/A                  5248807           63-U                        Lal Darwaja - Gujarat High Court                       Gujarat High Court         NORMAL             1125            1687    9:10:00  10:00:00     63/A    63/A-G           0 General Shift
         63/A                  5248808           63-D                        Gujarat High Court - Lal Darwaja                              Lal Darwaja         NORMAL             1621            1077   10:00:00  10:50:00     63/A    63/A-G           0 General Shift
        401/W                  5248809          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   18:55:00  20:05:00    401/W   401/W-G           0 General Shift
       1304/A                  5248810        130/4-D                              Manmohan Park - Nava Vadaj                               Nava Vadaj         NORMAL             7607            2101   18:45:00  20:35:00   1304/A  1304/A-G           0 General Shift
       5/HV09                  5248811          5S-RV                                  Rameshwar Park - Vasna                                    Vasna         NORMAL               99             276   16:56:00  17:31:00   5/HV09    HV09-S           0 Second Shift 
        401/W                  5248812          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   20:05:00  21:15:00    401/W   401/W-G           0 General Shift
        136/I                  5248813       136-MG-U                      Manmohan Park - Gujarat University                       Gujarat University         NORMAL             4231            1051    7:00:00   8:10:00    136/I   136/I-G           0 General Shift
        401/X                  5248814          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   14:10:00  15:20:00    401/X   401/X-G           0 General Shift
         33/E                  5248815           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   20:30:00  22:25:00     33/E    33/E-S           0 Second Shift 
        401/X                  5248816          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   15:20:00  16:45:00    401/X   401/X-G           0 General Shift
        136/I                  5248817       136-GM-D                      Gujarat University - Manmohan Park                            Manmohan Park         NORMAL             1222            4129    8:10:00   9:20:00    136/I   136/I-G           0 General Shift
        401/X                  5248818          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   16:45:00  17:55:00    401/X   401/X-G           0 General Shift
        401/X                  5248819          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   17:55:00  19:10:00    401/X   401/X-G           0 General Shift
       31/4/A                  5248820         31/4-D                                    Kasindra Gam - Paldi                                    Paldi         NORMAL             5339            1293   18:30:00  20:00:00   31/4/A  31/4/A-G           0 General Shift
       5/HV05                  5248821          5S-RV                                  Rameshwar Park - Vasna                                    Vasna         NORMAL               99             276   16:10:00  16:45:00   5/HV05    HV05-S           0 Second Shift 
       1304/B                  5248822     130/4-NC-U                                      Nava Vadaj - Memco                                    Memco         NORMAL             2101            2688   21:10:00  21:45:00   1304/B  1304/B-G           0 General Shift
       1304/B                  5248823        130/4-D                              Manmohan Park - Nava Vadaj                               Nava Vadaj         NORMAL             7607            2101   19:30:00  21:10:00   1304/B  1304/B-G           0 General Shift
       1304/C                  5248824        130/4-D                              Manmohan Park - Nava Vadaj                               Nava Vadaj         NORMAL             7607            2101   20:10:00  21:10:00   1304/C  1304/C-G           0 General Shift
         33/K                  5248825           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598   15:45:00  17:40:00     33/K    33/K-S           0 Second Shift 
        136/I                  5248826       136-MG-U                      Manmohan Park - Gujarat University                       Gujarat University         NORMAL             4231            1051    9:20:00  10:40:00    136/I   136/I-G           0 General Shift
        401/X                  5248827          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   19:10:00  20:20:00    401/X   401/X-G           0 General Shift
        401/L                  5248828       401-VV-D                                           Vadaj - Vasna                                    Vasna         NORMAL             2107            1598    9:15:00   9:45:00    401/L   401/L-G           0 General Shift
        401/X                  5248829          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   20:20:00  21:40:00    401/X   401/X-G           0 General Shift
       40/2/B                  5248830      40/2-NM-U                              Nava Vadaj - Rajoda Patiya                            Rajoda Patiya         NORMAL             2101            8791   10:55:00  13:20:00   40/2/B  40/2/B-G           0 General Shift
