 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103     40/1-U           10            3         1100               0
          103     40/1-U           11            2          900               0
          103     40/1-U           12            1          700               0
          103     40/1-U           13            0          300               0
          103     40/1-U            1           13         1800               0
          103     40/1-U            2           12         1800               0
          103     40/1-U            3           11         1800               0
          103     40/1-U            4           10         1700               0
          103     40/1-U            5            9         1700               0
          103     40/1-U            6            8         1500               0
          103     40/1-U            7            7         1500               0
          103     40/1-U            8            6         1300               0
          103     40/1-U            9            5         1300               0
          103     40/1-U           10            4         1200               0
          103     40/1-U           11            3         1100               0
          103     40/1-U           12            2          900               0
          103     40/1-U           13            1          700               0
          103     40/1-U           14            0          300               0
          103     40/1-U            1           14         2000               0
          103     40/1-U            2           13         2000               0
          103     40/1-U            3           12         1800               0
          103     40/1-U            4           11         1800               0
          103     40/1-U            5           10         1700               0
          103     40/1-U            6            9         1700               0
          103     40/1-U            7            8         1500               0
          103     40/1-U            8            7         1500               0
          103     40/1-U            9            6         1300               0
          103     40/1-U           10            5         1300               0
          103     40/1-U           11            4         1200               0
          103     40/1-U           12            3         1100               0
          103     40/1-U           13            2          900               0
          103     40/1-U           14            1          700               0
          103     40/1-U           15            0          300               0
          103     40/1-U            1           15         2000               0
          103     40/1-U            2           14         2000               0
          103     40/1-U            3           13         2000               0
          103     40/1-U            4           12         1800               0
          103     40/1-U            5           11         1800               0
          103     40/1-U            6           10         1700               0
          103     40/1-U            7            9         1700               0
          103     40/1-U            8            8         1500               0
          103     40/1-U            9            7         1500               0
          103     40/1-U           10            6         1300               0
          103     40/1-U           11            5         1300               0
          103     40/1-U           12            4         1200               0
          103     40/1-U           13            3         1100               0
          103     40/1-U           14            2          900               0
          103     40/1-U           15            1          700               0
          103     40/1-U           16            0          300               0
          103     40/1-U            1           16         2200               0
          103     40/1-U            2           15         2000               0
          103     40/1-U            3           14         2000               0
          103     40/1-U            4           13         2000               0
          103     40/1-U            5           12         1800               0
          103     40/1-U            6           11         1800               0
          103     40/1-U            7           10         1700               0
          103     40/1-U            8            9         1700               0
          103     40/1-U            9            8         1500               0
          103     40/1-U           10            7         1500               0
          103     40/1-U           11            6         1300               0
          103     40/1-U           12            5         1300               0
          103     40/1-U           13            4         1200               0
          103     40/1-U           14            3         1100               0
          103     40/1-U           15            2          900               0
          103     40/1-U           16            1          700               0
          103     40/1-U           17            0          300               0
          103     40/1-D            1           10         1700               0
          103     40/1-D            2            9         1700               0
          103     40/1-D            3            8         1500               0
          103     40/1-D            4            7         1500               0
          103     40/1-D            5            6         1300               0
          103     40/1-D            6            5         1300               0
          103     40/1-D            7            4         1200               0
          103     40/1-D            8            3         1100               0
          103     40/1-D            9            2          900               0
          103     40/1-D           10            1          700               0
          103     40/1-D           11            0          300               0
          103     40/1-D            1           11         1800               0
          103     40/1-D            2           10         1700               0
          103     40/1-D            3            9         1700               0
          103     40/1-D            4            8         1500               0
          103     40/1-D            5            7         1500               0
          103     40/1-D            6            6         1300               0
          103     40/1-D            7            5         1300               0
          103     40/1-D            8            4         1200               0
          103     40/1-D            9            3         1100               0
          103     40/1-D           10            2          900               0
          103     40/1-D           11            1          700               0
          103     40/1-D           12            0          300               0
          103     40/1-D            1           12         1800               0
          103     40/1-D            2           11         1800               0
          103     40/1-D            3           10         1700               0
          103     40/1-D            4            9         1700               0
          103     40/1-D            5            8         1500               0
          103     40/1-D            6            7         1500               0
          103     40/1-D            7            6         1300               0
          103     40/1-D            8            5         1300               0
          103     40/1-D            9            4         1200               0
          103     40/1-D           10            3         1100               0
          103     40/1-D           11            2          900               0
          103     40/1-D           12            1          700               0
          103     40/1-D           13            0          300               0
          103     40/1-D            1           13         2000               0
          103     40/1-D            2           12         1800               0
          103     40/1-D            3           11         1800               0
          103     40/1-D            4           10         1700               0
          103     40/1-D            5            9         1700               0
          103     40/1-D            6            8         1500               0
