station_code  stop_code                                     stop_name  short_stop_name stop_type  arrival_trigger_distance  departure_trigger_distance                    position stop_variant
         111        218                                Bopal Approach              NaN      BRTS                       NaN                         NaN POINT (72.477817 23.025813)       NORMAL
         112        219                             ONGC Avani Bhavan              NaN      BRTS                       NaN                         NaN POINT (72.586668 23.103505)       NORMAL
         112        220                             ONGC Avani Bhavan              NaN      BRTS                       NaN                         NaN POINT (72.586596 23.103547)       NORMAL
         113        221                                    Jantanagar              NaN      BRTS                       NaN                         NaN POINT (72.585187 23.108237)       NORMAL
         113        222                                    Jantanagar              NaN      BRTS                       NaN                         NaN  POINT (72.58511 23.108281)       NORMAL
         114        223                              Shiv Shaktinagar              NaN      BRTS                       NaN                         NaN  POINT (72.58397 23.112127)       NORMAL
         114        224                              Shiv Shaktinagar              NaN      BRTS                       NaN                         NaN POINT (72.583895 23.112173)       NORMAL
         115        225                                Chandkheda Gam              NaN      BRTS                       NaN                         NaN POINT (72.582674 23.116479)       NORMAL
         115        226                                Chandkheda Gam              NaN      BRTS                       NaN                         NaN POINT (72.582605 23.116507)       NORMAL
         116        227                                 Soma Textiles              NaN      BRTS                       NaN                         NaN POINT (72.628939 23.020105)       NORMAL
         116        228                                 Soma Textiles              NaN      BRTS                       NaN                         NaN  POINT (72.629017 23.02015)       NORMAL
         117        229                                      L Colony              NaN      BRTS                       NaN                         NaN  POINT (72.542824 23.02357)       NORMAL
         117        230                                      L Colony              NaN      BRTS                       NaN                         NaN POINT (72.542881 23.023516)       NORMAL
