workday,schedule_for_route_code,trip_id,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,vehicle_code,driver_code,trip_status,trip_last_update_time
25/03/2023,5524945,2503235524945,DR975,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2107,9958,21:00:00,21:08:00,401/H,401/H-G,0,,,,
25/03/2023,5524946,2503235524946,DR972,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2107,08:10:00,08:15:00,401/I,401/I-G,0,,,,
25/03/2023,5524947,2503235524947,DR973,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2107,9970,21:20:00,21:30:00,401/I,401/I-G,0,,,,
25/03/2023,5524948,2503235524948,DR976,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2033,06:49:00,06:55:00,401/Q,401/Q-G,0,,,,
25/03/2023,5524949,2503235524949,DR977,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2033,9970,20:20:00,20:25:00,401/Q,401/Q-G,0,,,,
25/03/2023,5524950,2503235524950,DR978,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2033,07:10:00,07:15:00,401/R,401/R-G,0,,,,
25/03/2023,5524951,2503235524951,DR947,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2033,9958,20:40:00,20:44:00,401/R,401/R-G,0,,,,
25/03/2023,5524952,2503235524952,DR403,Jamalpur Depot - Vasna,Vasna,NORMAL,9951,1286,06:07:00,06:20:00,401S/A,401S/A-F,0,,,,
25/03/2023,5524953,2503235524953,DR400,Vasna - Jamalpur Depot,Jamalpura Depot,NORMAL,1598,9951,19:15:00,19:27:00,401S/A,401S/A-S,0,,,,
25/03/2023,5524954,2503235524954,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,10:11:00,10:15:00,4/TL17,TL17-F,0,,,,
25/03/2023,5524955,2503235524955,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,23:50:00,23:53:00,4/TL17,TL17-S,0,,,,
25/03/2023,5524956,2503235524956,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,09:23:00,09:27:00,4/TL13,TL13-F,0,,,,
25/03/2023,5524957,2503235524957,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,23:10:00,23:13:00,4/TL13,TL13-S,0,,,,
25/03/2023,5524958,2503235524958,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,08:51:00,08:53:00,4/TL12,TL12-F,0,,,,
25/03/2023,5524959,2503235524959,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,22:36:00,22:39:00,4/TL12,TL12-S,0,,,,
25/03/2023,5524960,2503235524960,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,09:30:00,09:32:00,4/TL15,TL15-F,0,,,,
25/03/2023,5524961,2503235524961,DR29,Trimandir - Zundal Depot,Zundal Depot,NORMAL,402,905,23:35:00,23:50:00,4/TL15,TL15-S,0,,,,
25/03/2023,5524962,2503235524962,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,08:47:00,08:51:00,4/TL10,TL10-F,0,,,,
25/03/2023,5524963,2503235524963,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,22:56:00,22:59:00,4/TL10,TL10-S,0,,,,
25/03/2023,5524964,2503235524964,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,08:27:00,08:29:00,4/TL11,TL11-F,0,,,,
25/03/2023,5524965,2503235524965,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,22:16:00,22:19:00,4/TL11,TL11-S,0,,,,
25/03/2023,5524966,2503235524966,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,05:56:00,06:00:00,4/TL02,TL02-F,0,,,,
25/03/2023,5524967,2503235524967,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,19:29:00,19:32:00,4/TL02,TL02-S,0,,,,
25/03/2023,5524968,2503235524968,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,08:01:00,08:05:00,4/TL08,TL08-F,0,,,,
25/03/2023,5524969,2503235524969,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,22:06:00,22:09:00,4/TL08,TL08-S,0,,,,
25/03/2023,5524970,2503235524970,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,08:03:00,08:05:00,4/TL09,TL09-F,0,,,,
25/03/2023,5524971,2503235524971,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,21:01:00,21:04:00,4/TL09,TL09-S,0,,,,
25/03/2023,5524972,2503235524972,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,09:59:00,10:03:00,4/TL16,TL16-F,0,,,,
25/03/2023,5524973,2503235524973,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,23:30:00,23:33:00,4/TL16,TL16-S,0,,,,
25/03/2023,5524974,2503235524974,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,09:02:00,09:04:00,4/TL14,TL14-F,0,,,,
25/03/2023,5524975,2503235524975,DR29,Trimandir - Zundal Depot,Zundal Depot,NORMAL,402,905,23:01:00,23:16:00,4/TL14,TL14-S,0,,,,
25/03/2023,5524976,2503235524976,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,09:53:00,09:55:00,4/TL18,TL18-F,0,,,,
25/03/2023,5524977,2503235524977,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,23:40:00,23:43:00,4/TL18,TL18-S,0,,,,
25/03/2023,5524978,2503235524978,DR28,Zundal Depot - Trimandir,Trimandir,NORMAL,905,403,05:46:00,06:00:00,4/TL01,TL01-F,0,,,,
25/03/2023,5524979,2503235524979,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,20:07:00,20:10:00,4/TL01,TL01-S,0,,,,
25/03/2023,5524980,2503235524980,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,06:26:00,06:30:00,4/TL04,TL04-F,0,,,,
25/03/2023,5524981,2503235524981,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,22:58:00,23:01:00,4/TL04,TL04-S,0,,,,
25/03/2023,5524982,2503235524982,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,06:03:00,06:05:00,4/TL03,TL03-F,0,,,,
25/03/2023,5524983,2503235524983,DR2,Sarthi Bungalows - Zundal Depot,Zundal Depot,NORMAL,251,905,20:10:00,20:12:00,4/TL03,TL03-S,0,,,,
25/03/2023,5524984,2503235524984,DR102,Zundal Depot - DCIS Circle,DCIS Circle,NORMAL,905,253,06:53:00,06:57:00,4/TL06,TL06-F,0,,,,
25/03/2023,5524985,2503235524985,DR110,DCIS Circle - Zundal Depot,Zundal Depot,NORMAL,254,905,21:54:00,21:57:00,4/TL06,TL06-S,0,,,,
25/03/2023,5524986,2503235524986,DR1,Zundal Depot - Sarthi Bungalows,Sarthi Bungalows,NORMAL,905,252,06:27:00,06:29:00,4/TL05,TL05-F,0,,,,
25/03/2023,5524987,2503235524987,DR2,Sarthi Bungalows - Zundal Depot,Zundal Depot,NORMAL,251,905,21:11:00,21:13:00,4/TL05,TL05-S,0,,,,
25/03/2023,5524988,2503235524988,DR156,Naranpura Depot - TATA - LD Engg. College,LD Engg. College,NORMAL,909,236,05:53:00,06:05:00,4/LT01,LT01-F,0,,,,
25/03/2023,5524989,2503235524989,DR140,Jaimangal - Naranpura Depot - TATA,Naranpura Depot - TATA,NORMAL,14,909,11:48:00,11:53:00,4/LT01,LT01-F,0,,,,
25/03/2023,5524990,2503235524990,DR156,Naranpura Depot - TATA - LD Engg. College,LD Engg. College,NORMAL,909,236,06:08:00,06:20:00,4/LT02,LT02-F,0,,,,
