schedule_code,schedule_name,priority_weight,start_date,end_date,depot,bus_type,route_type
160/B,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
160/C,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
160/D,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
160/E,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
160/F,Silver Oak University - Hatkeshwar Depo,,21/01/2023 00:00:00,20/01/2028 23:59:59,Bhairavnath Depot-SAM,A,AMTS
31/F,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/G,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
35/F,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
35/G,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
35/H,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
35/I,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
35/J,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
31/H,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
31/I,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
31/J,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/K,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/L,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
331S/A,Lal Darwaja - Vaishali Township,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
