schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
144/F,5389075,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,15:35:00,16:45:00,144/F,144/F-G,0,General Shift
144/F,5389076,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,16:45:00,18:00:00,144/F,144/F-G,0,General Shift
64/A,5389077,64-PG-U,Usmanpura - Gujarat High Court,Gujarat High Court,NORMAL,4257,1687,6:20:00,6:50:00,64/A,64/A-G,0,General Shift
160/A,5389078,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,6:00:00,7:35:00,160/A,160/A-F,0,First Shift
160/A,5389079,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,7:35:00,9:25:00,160/A,160/A-F,0,First Shift
160/B,5389080,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,10:00:00,11:45:00,160/B,160/B-F,0,First Shift
160/B,5389081,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,12:20:00,14:00:00,160/B,160/B-F,0,First Shift
160/A,5389082,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,13:35:00,15:20:00,160/A,160/A-S,0,Second Shift 
160/A,5389083,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,15:20:00,17:00:00,160/A,160/A-S,0,Second Shift 
160/B,5389084,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,6:35:00,8:10:00,160/B,160/B-F,0,First Shift
160/B,5389085,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,8:10:00,10:00:00,160/B,160/B-F,0,First Shift
160/A,5389086,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,9:25:00,11:10:00,160/A,160/A-F,0,First Shift
160/A,5389087,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,11:45:00,13:25:00,160/A,160/A-F,0,First Shift
160/B,5389088,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,14:10:00,15:55:00,160/B,160/B-S,0,Second Shift 
160/B,5389089,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,15:55:00,17:35:00,160/B,160/B-S,0,Second Shift 
64/A,5389090,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,7:30:00,8:25:00,64/A,64/A-G,0,General Shift
160/E,5389091,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,8:10:00,10:00:00,160/E,160/E-F,0,First Shift
160/E,5389092,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,10:00:00,11:45:00,160/E,160/E-F,0,First Shift
160/E,5389093,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,11:45:00,13:25:00,160/E,160/E-F,0,First Shift
160/E,5389094,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,14:00:00,15:40:00,160/E,160/E-F,0,First Shift
160/F,5389095,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,18:15:00,19:55:00,160/F,160/F-S,0,Second Shift 
160/E,5389096,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,15:55:00,17:40:00,160/E,160/E-S,0,Second Shift 
160/E,5389097,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,17:40:00,19:20:00,160/E,160/E-S,0,Second Shift 
64/D,5389098,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,14:55:00,15:55:00,64/D,64/D-G,0,General Shift
160/C,5389099,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,7:10:00,8:45:00,160/C,160/C-F,0,First Shift
160/D,5389100,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,11:10:00,12:55:00,160/D,160/D-F,0,First Shift
160/C,5389101,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,8:45:00,10:35:00,160/C,160/C-F,0,First Shift
160/D,5389102,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,13:30:00,15:10:00,160/D,160/D-F,0,First Shift
160/C,5389103,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,14:45:00,16:30:00,160/C,160/C-S,0,Second Shift 
160/C,5389104,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,16:30:00,18:10:00,160/C,160/C-S,0,Second Shift 
160/D,5389105,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,7:45:00,9:25:00,160/D,160/D-F,0,First Shift
160/D,5389106,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,9:25:00,11:10:00,160/D,160/D-F,0,First Shift
160/C,5389107,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,10:35:00,12:20:00,160/C,160/C-F,0,First Shift
160/C,5389108,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,12:55:00,14:35:00,160/C,160/C-F,0,First Shift
160/D,5389109,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,15:20:00,17:05:00,160/D,160/D-S,0,Second Shift 
160/D,5389110,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,17:05:00,18:45:00,160/D,160/D-S,0,Second Shift 
160/F,5389111,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,8:45:00,10:35:00,160/F,160/F-F,0,First Shift
